#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
642 1.63211 407 4.93835 434
643 0.983396 409 4.09314 441
644 1.38945 408 4.49631 371
645 0.890133 408 4.82145 371
646 0.791438 409 4.23227 372
647 0.734342 406 4.47505 175
648 0.591578 395 4.37851 182
649 0.633834 398 4.86443 183
650 0.555754 389 4.19399 175
651 0.421371 410 4.06786 177
652 0.482079 398 4.72225 178
653 0.438 407 4.04018 181
654 0.500993 400 4.28065 178
655 0.586851 408 4.31283 177
656 0.645326 404 4.78418 173
657 0.659367 402 4.6628 180
658 0.769516 394 4.5556 173
659 0.928701 395 5.07747 174
660 0.915356 401 4.97571 402
661 1.07427 394 5.59843 175
662 1.3456 407 5.31396 394
663 1.13148 404 5.05794 396
664 0.709599 417 5.38964 394
665 0.770852 404 5.24279 393
666 0.826611 392 5.71484 188
667 0.584263 391 5.18422 394
668 0.587479 397 5.40657 188
669 0.714086 43 5.74645 185
670 0.852844 395 5.603 185
671 1.28668 401 6.74022 400
672 1.34954 411 6.42812 399
673 0.930719 404 6.04069 397
674 0.837191 402 5.69559 403
675 0.65721 406 5.41552 404
676 0.761655 54 5.4775 402
677 0.796231 56 5.48772 397
678 0.502613 435 5.23898 394
679 0.470321 45 5.29842 392
680 0.778616 295 5.6185 393
681 0.632091 406 5.5441 398
682 0.71645 418 5.39124 209
683 0.570884 420 5.73212 402
684 0.649265 406 5.74006 400
685 0.622327 409 5.15237 400
686 0.629357 415 4.83788 400
687 0.715436 402 5.3935 398
688 0.613474 40 5.27511 395
689 0.964684 393 5.45409 399
690 0.728005 404 5.46899 391
691 0.921488 404 5.21761 396
692 0.630191 404 4.80398 394
693 0.540355 125 4.59063 390
694 0.694623 414 4.99272 388
695 0.662472 117 4.96629 388
696 1.09564 120 4.65107 394
697 1.63329 110 5.21951 190
698 1.50777 107 5.21102 396
699 1.186 120 4.88488 193
700 1.32865 118 5.58374 382
701 1.49556 402 5.4559 380
702 1.21154 114 4.9293 383
703 1.16528 403 5.79039 380
704 1.0063 405 5.91691 378
705 1.19731 405 6.16121 378
706 0.859122 411 6.31705 372
707 0.848313 414 6.04767 380
708 1.02001 411 6.22828 457
709 1.17595 406 6.94364 455
710 1.27299 404 6.37219 452
711 1.264 120 6.31557 454
712 1.46195 398 5.76428 375
713 0.946513 411 5.61846 366
714 0.587789 407 5.01147 380
715 0.780976 403 5.86245 385
716 0.929535 403 6.60184 457
717 0.695746 26 5.72607 458
718 0.936743 407 6.40599 445
719 0.816351 404 5.26153 378
720 1.092 110 4.79405 92
721 0.988195 115 5.14951 113
722 0.771643 104 4.9653 440
723 0.821827 278 5.38192 442
724 0.666289 386 5.04212 377
725 0.864193 384 5.14548 436
726 0.571498 33 5.04556 103
727 1.23955 33 5.2746 107
728 1.03379 38 5.70504 458
729 0.902356 41 5.73672 110
730 1.73724 42 5.57711 96
731 0.905901 38 5.57967 206
732 0.653101 39 5.59377 444
733 0.808589 39 5.13423 440
734 0.987259 40 4.74782 438
735 1.00212 39 5.20487 438
736 0.664824 41 5.41413 435
737 0.555589 135 5.38684 450
738 1.44007 37 5.67956 468
739 0.567731 138 5.60957 464
740 0.713446 388 5.36263 452
741 1.33604 37 6.41682 103
742 0.673274 283 5.49328 454
743 0.525053 41 5.79819 119
744 0.546286 38 4.63983 107
745 0.853989 38 5.26939 109
746 0.49555 125 4.94503 120
747 0.924789 373 5.39485 109
748 0.841681 376 5.44762 446
749 0.601437 377 5.28429 119
750 0.705066 373 5.73205 118
751 0.704568 380 5.87776 106
752 0.795924 372 5.50061 112
753 1.03272 121 5.10588 114
754 0.943797 123 5.46146 111
755 0.757572 113 5.23275 101
756 0.589089 43 5.53108 426
757 0.797091 39 5.32975 446
758 1.55183 45 6.23572 98
759 1.1202 44 6.31827 446
760 1.24966 46 5.6885 441
761 1.4017 48 6.20559 440
762 1.40576 372 6.63672 440
763 1.28761 41 6.2871 98
764 1.23539 46 5.99207 103
765 1.49583 49 6.30935 96
766 1.56905 54 6.63319 93
